location,area,bedrooms,bathrooms,parking,property_age,floors,price
Rushikonda,1753,3,3,2,24,2,9777000
Pendurthi,2082,3,3,1,13,2,6513000
Gajuwaka,3004,4,4,2,15,2,11694000
Yendada,2323,4,4,2,1,1,13726000
Seethammadhara,1672,3,2,1,14,2,10072000
Seethammadhara,1301,3,2,1,24,2,7415000
MVP Colony,957,2,1,1,6,1,6602000
Muralinagar,3107,4,4,3,0,2,16546000
Yendada,1858,3,3,1,21,2,9299000
Gajuwaka,1677,3,3,2,23,2,6422000
MVP Colony,1142,2,2,1,3,2,8306000
Pendurthi,1738,3,3,1,2,3,6884000
Muralinagar,998,2,1,0,14,1,4280000
Seethammadhara,926,2,2,1,1,1,6292000
Seethammadhara,1957,3,3,1,6,2,13429000
Seethammadhara,1137,2,2,0,7,2,7888000
Rushikonda,1372,3,3,1,8,2,8938000
Madhurawada,1727,3,2,1,5,2,7879000
Madhurawada,1680,3,3,1,1,4,8749000
Siripuram,2097,3,3,1,3,4,19774000
Yendada,1602,3,2,1,24,3,7474000
Seethammadhara,1128,2,2,0,4,2,7801000
Siripuram,1620,3,3,1,5,1,13850000
Rushikonda,1759,3,3,2,13,1,10421000
Madhurawada,1086,2,2,0,24,2,3929000
Gajuwaka,1045,2,2,0,21,2,3559000
Seethammadhara,4124,5,4,2,16,1,24307000
Madhurawada,2133,4,3,1,13,1,9324000
Yendada,915,2,1,1,13,4,5365000
MVP Colony,1159,2,2,1,0,2,9064000
Yendada,1680,3,3,2,5,1,9299000
Seethammadhara,524,1,1,0,12,2,3314000
MVP Colony,2091,4,3,2,17,1,13405000
Pendurthi,1136,2,1,1,9,1,3848000
Pendurthi,1989,3,2,2,8,2,6998000
Muralinagar,1249,2,1,1,6,1,6110000
Rushikonda,1229,2,2,1,5,2,7376000
MVP Colony,941,2,2,0,21,4,5976000
Yendada,911,2,2,0,14,2,4457000
Madhurawada,1312,3,2,1,20,1,5264000
Seethammadhara,659,1,1,0,2,1,4399000
Madhurawada,966,2,2,0,19,1,4032000
MVP Colony,1526,3,3,1,5,2,11262000
Sujathanagar,3153,4,4,1,9,4,12278000
Siripuram,1081,2,2,1,1,2,9068000
Yendada,2855,4,4,1,11,2,14696000
